trajectory_id,embedding_type,point_index,curvature
10,PCA,1,2142.324315574549
10,PCA,2,2.0356903002116216
10,PCA,3,0.882193602717308
10,PCA,4,2.6044461585938388
10,PCA,5,8.09426184198194
10,PCA,6,17.05220382746867
10,PCA,7,30.606951765639767
10,PCA,8,59.19705031858635
11,PCA,1,45408.63269157258
11,PCA,2,19.970058391345276
11,PCA,3,13.391569675520932
11,PCA,4,15.13404954210832
11,PCA,5,44.0400594761015
11,PCA,6,98.04619481052286
11,PCA,7,135.57632062540483
11,PCA,8,137.33793218751828
12,PCA,1,1900.3738807929944
12,PCA,2,0.7568107612153864
12,PCA,3,1.3305204469936278
12,PCA,4,2.130227908905799
12,PCA,5,3.2442571499882646
12,PCA,6,5.1189444810606295
12,PCA,7,8.790390350228893
12,PCA,8,18.48195003223813
13,PCA,1,202586.78437019137
13,PCA,2,30.25170559309293
13,PCA,3,64.48272058482964
13,PCA,4,38.38009818335592
13,PCA,5,108.30112174119229
13,PCA,6,302.390416406343
13,PCA,7,417.3967435836245
13,PCA,8,283.6384377771794
14,PCA,1,9085.579847643918
14,PCA,2,2.430123021394482
14,PCA,3,2.8085268927922904
14,PCA,4,4.152024505237018
14,PCA,5,6.8909212999842735
14,PCA,6,11.463330694652301
14,PCA,7,20.01427791645667
14,PCA,8,41.33307901056924
15,PCA,1,21483.680230985017
15,PCA,2,7.835013874137203
15,PCA,3,8.332477546148912
15,PCA,4,11.476988897290267
15,PCA,5,19.803907672976777
15,PCA,6,28.75694132060282
15,PCA,7,36.113413005177044
15,PCA,8,54.711265400838506
16,PCA,1,18154.21534018577
16,PCA,2,3.7307810708087947
16,PCA,3,4.061203324275805
16,PCA,4,3.810150510812519
16,PCA,5,16.237742228151532
16,PCA,6,33.08287944874991
16,PCA,7,44.21377700662043
16,PCA,8,58.22729682026853
17,PCA,1,41053.93505726768
17,PCA,2,4.848934677698999
17,PCA,3,8.098350327600796
17,PCA,4,14.992419296859868
17,PCA,5,27.63794053106961
17,PCA,6,43.15130227911655
17,PCA,7,49.72399866536765
17,PCA,8,64.60537897066223
18,PCA,1,13715.933556156115
18,PCA,2,0.45522576482111765
18,PCA,3,2.6229221792560633
18,PCA,4,6.350084196125698
18,PCA,5,11.986163350106503
18,PCA,6,19.7854524776401
18,PCA,7,31.610116140473824
18,PCA,8,58.950002095325104
19,PCA,1,67253.79074924624
19,PCA,2,6.240655397054782
19,PCA,3,5.35864191327569
19,PCA,4,6.944241797696738
19,PCA,5,15.20802689152981
19,PCA,6,26.02046188502369
19,PCA,7,41.695752724759394
19,PCA,8,76.74740321293766
20,PCA,1,24519.029403939767
20,PCA,2,8.778476856613361
20,PCA,3,9.90935214940203
20,PCA,4,9.092408011238266
20,PCA,5,18.013726230476585
20,PCA,6,36.32502531603103
20,PCA,7,56.64263183079929
20,PCA,8,86.00053922654337
21,PCA,1,21098.861374755827
21,PCA,2,1.597076962779528
21,PCA,3,1.517746660603531
21,PCA,4,2.0106112839933528
21,PCA,5,8.85816103985973
21,PCA,6,20.412303881044792
21,PCA,7,39.07727985084488
21,PCA,8,79.11340544855594
22,PCA,1,11503.225060490997
22,PCA,2,2.2211542821552808
22,PCA,3,3.826657763907425
22,PCA,4,7.859960041087066
22,PCA,5,11.96169732045921
22,PCA,6,15.264385272825846
22,PCA,7,21.85939240076904
22,PCA,8,44.38219564730056
23,PCA,1,30108.829700934828
23,PCA,2,3.6300474976371166
23,PCA,3,3.679595275378576
23,PCA,4,10.820825914155723
23,PCA,5,23.051196576820814
23,PCA,6,39.310966690475766
23,PCA,7,54.94068945318542
23,PCA,8,77.26558703461292
24,PCA,1,4913.3511672383065
24,PCA,2,1.5991982620941587
24,PCA,3,2.7543701330856663
24,PCA,4,4.454355511271583
24,PCA,5,7.638771782257824
24,PCA,6,12.406325044420797
24,PCA,7,20.40377318934756
24,PCA,8,40.745263830138015
25,PCA,1,5123.778460694699
25,PCA,2,0.31727179212027284
25,PCA,3,0.20406822424898852
25,PCA,4,2.6819628547043965
25,PCA,5,8.229443330022693
25,PCA,6,16.409089153598426
25,PCA,7,25.2068178837951
25,PCA,8,36.58902151927487
26,PCA,1,21126.761880512102
26,PCA,2,7.635067694168523
26,PCA,3,10.572807398703006
26,PCA,4,16.432361729049713
26,PCA,5,32.24514888371156
26,PCA,6,48.186034434149164
26,PCA,7,52.07458713125425
26,PCA,8,72.94323381544326
27,PCA,1,18204.484637856356
27,PCA,2,0.7245209423300096
27,PCA,3,2.207605841707478
27,PCA,4,6.10688402239621
27,PCA,5,12.743056847303514
27,PCA,6,21.294309477773428
27,PCA,7,28.937369633860552
27,PCA,8,41.85634806491794
28,PCA,1,14732.713025270208
28,PCA,2,3.294214503680446
28,PCA,3,2.0662729048315014
28,PCA,4,4.27160626264482
28,PCA,5,10.078283381313529
28,PCA,6,18.81482391289456
28,PCA,7,29.835932525054513
28,PCA,8,47.226879916432345
29,PCA,1,10503.609165471185
29,PCA,2,0.9415843376927496
